Assessment Instrument,Assessment Instrument Version,Item ID,Question Text,Section Name,Skip Pattern Trigger,Lookback Period,Item Uses,Item Subsets,Assessment Response Codes,Response Text,Copyright Indicator
OASIS,D1-012020,GG0100,"""Prior Functioning: Everyday Activities. Indicate the {patient's/resident's} usual ability with everyday activities prior to the current illness, exacerbation, or injury""","""Section GG: Functional Abilities and Goals""",N,0,,01|03,,,N
OASIS,D1-012020,GG0100A,"""Self-Care: Code the {patient's/resident's} need for assistance with bathing, dressing, using the toilet, or eating prior to the current illness, exacerbation, or injury.""","""Section GG: Functional Abilities and Goals""",N,0,,01|03,-|1|2|3|8|9,"""Not assessed/no information""|""Dependent - A helper completed the activities for the {patient/resident}.""|""Needed Some Help - {Patient/Resident} needed partial assistance from another person to complete activities.""|""Independent - {Patient/Resident} completed the activities by him/herself, with or without an assistive device, with no assistance from a helper.""|""Unknown""|""Not Applicable""",N
OASIS,D1-012020,GG0100B,"""Indoor Mobility (Ambulation): Code the {patient's/resident's} need for assistance with walking from room to room (with or without a device such as a cane, crutch, or walker) prior to the current illness, exacerbation, or injury.""","""Section GG: Functional Abilities and Goals""",N,0,,01|03,-|1|2|3|8|9,"""Not assessed/no information""|""Dependent - A helper completed the activities for the {patient/resident}.""|""Needed Some Help - {Patient/Resident} needed partial assistance from another person to complete activities.""|""Independent - {Patient/Resident} completed the activities by him/herself, with or without an assistive device, with no assistance from a helper.""|""Unknown""|""Not Applicable""",N
OASIS,D1-012020,GG0100C,"""Stairs: Code the {patient's/resident's} need for assistance with internal or external stairs (with or without a device such as a cane, crutch or walker) prior to the current illness, exacerbation, or injury.""","""Section GG: Functional Abilities and Goals""",N,0,,01|03,-|1|2|3|8|9,"""Not assessed/no information""|""Dependent - A helper completed the activities for the {patient/resident}.""|""Needed Some Help - {Patient/Resident} needed partial assistance from another person to complete activities.""|""Independent - {Patient/Resident} completed the activities by him/herself, with or without an assistive device, with no assistance from a helper.""|""Unknown""|""Not Applicable""",N
OASIS,D1-012020,GG0100D,"""Functional Cognition: Code the {patient's/resident's} need for assistance with planning regular tasks, such as shopping or remembering to take medication prior to the current illness, exacerbation, or injury.""","""Section GG: Functional Abilities and Goals""",N,0,,01|03,-|1|2|3|8|9,"""Not assessed/no information""|""Dependent - A helper completed the activities for the {patient/resident}.""|""Needed Some Help - {Patient/Resident} needed partial assistance from another person to complete activities.""|""Independent - {Patient/Resident} completed the activities by him/herself, with or without an assistive device, with no assistance from a helper.""|""Unknown""|""Not Applicable""",N
OASIS,D1-012020,GG0110,"""Prior Device Use. Indicate devices and aids used by the {patient/resident} prior to the current illness, exacerbation, or injury: Check all that apply""","""Section GG: Functional Abilities and Goals""",N,0,,01|03,-|A|B|C|D|E|Z,"""Not assessed/no information""|""Manual wheelchair""|""Motorized wheelchair and/or scooter""|""Mechanical lift""|""Walker""|""Orthotics/Prosthetics""|""None of the above""",N
OASIS,D1-012020,GG0130,"""Self-Care. Code the {patient's/resident's} usual performance at {admission} for each activity using the 6-point scale. If activity was not attempted at {admission}, code the reason. Code the {patient's/resident's} {discharge} goal(s) using the 6 point scale. Use of codes 07, 09, 10, or 88 is permissible to code {discharge} goal(s).""","""Section GG: Functional Abilities and Goals""",N,0,,01|03|04|05|09,,,N
OASIS,D1-012020,GG0130A1,"""Eating: The ability to use suitable utensils to bring food and/or liquid to the mouth and swallow food and/or liquid once the meal is placed before the {patient/resident}. - Admission Performance""","""Section GG: Functional Abilities and Goals""",N,0,,01|03,-|01|02|03|04|05|06|07|09|10|88,"""Not assessed/no information""|""Dependent - Helper does ALL of the effort. {Patient/Resident} does none of the effort to complete the activity. Or, the assistance of 2 or more helpers is required for the {patient/resident} to complete the activity.""|""Substantial/maximal assistance - Helper does MORE THAN HALF the effort. Helper lifts or holds trunk or limbs and provides more than half the effort.""|""Partial/moderate assistance - Helper does LESS THAN HALF the effort. Helper lifts, holds, or supports trunk or limbs, but provides less than half the effort.""|""Supervision or touching assistance - Helper provides verbal cues and/or touching/steadying and/or contact guard assistance as {patient/resident} completes activity. Assistance may be provided throughout the activity or intermittently.""|""Setup or clean-up assistance - Helper sets up or cleans up; {patient/resident} completes activity. Helper assists only prior to or following the activity.""|""Independent - {Patient/Resident} completes the activity by him/herself with no assistance from a helper.""|""{Patient/Resident} refused""|""Not applicable - Not attempted and the {patient/resident} did not perform this activity prior to the current illness, exacerbation, or injury.""|""Not attempted due to environmental limitations (e.g., lack of equipment, weather constraints)""|""Not attempted due to medical conditions or safety concerns""",N
OASIS,D1-012020,GG0130A2,"""Eating: The ability to use suitable utensils to bring food and/or liquid to the mouth and swallow food and/or liquid once the meal is placed before the {patient/resident}. - Discharge Goal""","""Section GG: Functional Abilities and Goals""",N,0,,01|03,-|01|02|03|04|05|06|07|09|10|88,"""Not assessed/no information""|""Dependent - Helper does ALL of the effort. {Patient/Resident} does none of the effort to complete the activity. Or, the assistance of 2 or more helpers is required for the {patient/resident} to complete the activity.""|""Substantial/maximal assistance - Helper does MORE THAN HALF the effort. Helper lifts or holds trunk or limbs and provides more than half the effort.""|""Partial/moderate assistance - Helper does LESS THAN HALF the effort. Helper lifts, holds, or supports trunk or limbs, but provides less than half the effort.""|""Supervision or touching assistance - Helper provides verbal cues and/or touching/steadying and/or contact guard assistance as {patient/resident} completes activity. Assistance may be provided throughout the activity or intermittently.""|""Setup or clean-up assistance - Helper sets up or cleans up; {patient/resident} completes activity. Helper assists only prior to or following the activity.""|""Independent - {Patient/Resident} completes the activity by him/herself with no assistance from a helper.""|""{Patient/Resident} refused""|""Not applicable - Not attempted and the {patient/resident} did not perform this activity prior to the current illness, exacerbation, or injury.""|""Not attempted due to environmental limitations (e.g., lack of equipment, weather constraints)""|""Not attempted due to medical conditions or safety concerns""",N
OASIS,D1-012020,GG0130A3,"""Eating: The ability to use suitable utensils to bring food and/or liquid to the mouth and swallow food and/or liquid once the meal is placed before the {patient/resident}. - Discharge Performance""","""Section GG: Functional Abilities and Goals""",N,0,,9,-|01|02|03|04|05|06|07|09|10|88,"""Not assessed/no information""|""Dependent - Helper does ALL of the effort. {Patient/Resident} does none of the effort to complete the activity. Or, the assistance of 2 or more helpers is required for the {patient/resident} to complete the activity.""|""Substantial/maximal assistance - Helper does MORE THAN HALF the effort. Helper lifts or holds trunk or limbs and provides more than half the effort.""|""Partial/moderate assistance - Helper does LESS THAN HALF the effort. Helper lifts, holds, or supports trunk or limbs, but provides less than half the effort.""|""Supervision or touching assistance - Helper provides verbal cues and/or touching/steadying and/or contact guard assistance as {patient/resident} completes activity. Assistance may be provided throughout the activity or intermittently.""|""Setup or clean-up assistance - Helper sets up or cleans up; {patient/resident} completes activity. Helper assists only prior to or following the activity.""|""Independent - {Patient/Resident} completes the activity by him/herself with no assistance from a helper.""|""{Patient/Resident} refused""|""Not applicable - Not attempted and the {patient/resident} did not perform this activity prior to the current illness, exacerbation, or injury.""|""Not attempted due to environmental limitations (e.g., lack of equipment, weather constraints)""|""Not attempted due to medical conditions or safety concerns""",N
